title,description,content,source,published_at
"The durable, floatable UE Wonderboom 4 speaker is cheaper than ever","I like the UE Wonderboom 4 Bluetooth speaker so much that I bought two of them, though I wish I could have paid less for them. Fortunately, you can stock up on the cheap, so long as you like the color blue. The Wonderboom 4 is available in blue at Amazon for …","<ul><li></li><li></li><li></li></ul>
Plus, upgrade your gaming setup with discounts on a new QD-OLED gaming monitor or sleek, wireless headset.
Plus, upgrade your gaming setup with discounts on a n… [+3539 chars]",The Verge,2026-06-02T18:05:35Z
'Hardly cutting edge': Why a short-seller is targeting an AI-memory stock that's up more than 200% this year,"Kerrisdale Capital took aim at Everspin Technologies on Tuesday, arguing it's not a beneficiary of the AI boom that's lifted memory stocks in 2026.","Memory stocks have been the hottest trade of the year, but one short-seller thinks investors should be more discerning in picking winners.
Kerrisdale Capital revealed a short position Everspin Techn… [+1933 chars]",Business Insider,2026-05-19T18:09:37Z
The defense in Andrew Left's fraud trial is hammering down on a simple question: Can people disagree about stocks?,Prosecutors allege Andrew Left manipulated the market. His defense has pressed the idea that people can disagree on stocks without it being fraud.,"Andrew Left, right, with his lawyer, arriving at court in Los Angeles.Bloomberg/Getty Images
<ul><li>Prosecutors say short-seller Andrew Left manipulated the market and deceived retail investors.</l… [+4036 chars]",Business Insider,2026-05-14T01:52:13Z
Americans’ anger about the economy hits Trump and Republicans’ midterm prospects,A new CNN poll conducted by SSRS finds that 77% – including a majority of Republicans – say that President Donald Trump’s policies have increased the cost of...,"Its President Donald Trumps economy and most Americans arent happy with it.
A new CNN poll conducted by SSRS finds that 77% including a majority of Republicans say that Trumps policies have increase… [+5428 chars]",CNN,2026-05-12T09:00:51Z
McDonald's CEO just shared some bad news about the K-shaped economy,"CEO Chris Kempczinski said consumer sentiment is marked by ""heightened anxiety,"" and lower-income customers are continuing to pull back on spending.","McDonald's CEO Chris Kempczinski said spending patterns between higher- and lower-income consumers will diverge further.Win McNamee/Getty Images
<ul><li>McDonald's CEO Chris Kempczinski hinted that … [+2100 chars]",Business Insider,2026-05-08T04:24:53Z
'Big Short' investor Michael Burry sounds the alarm on Nvidia stock and AI 'tokenmaxxing',"Nvidia stock is at risk of an ""aggressive fall"" and AI ""tokenmaxxing"" is unsustainable, Michael Burry of ""The Big Short"" said on Substack.","Michael Burry of ""The Big Short"" took aim at the ""tokenmaxxing"" trend.Jim Spellman/WireImage
<ul><li>Nvidia stock is at a historically high risk of an ""aggressive fall,"" Michael Burry says.</li><li>… [+3378 chars]",Business Insider,2026-05-26T12:58:55Z
Wall Street loves to team up when tech threatens its business,Finance giants are teaming up with OpenAI and Anthropic to help them spin up consulting arms. It's a classic strategy Wall Street has deployed before.,"Bloomberg/Getty Images
<ul><li>This post originally appeared in the Business Insider Today newsletter.</li><li>You can sign up for Business Insider's daily newsletter here.</li></ul>Anthropic's new … [+2874 chars]",Business Insider,2026-05-05T13:28:09Z
Warren Buffett's successor is finally putting his nearly $400 billion cash pile to work,"Berkshire Hathaway is set to buy $10 billion of discounted Alphabet stock, and recently announced an $8.5 billion acquisition.","Warren Buffett is the chairman and former CEO of Berkshire Hathaway.Daniel Zuchnik/WireImage
<ul><li>Berkshire Hathaway finally seems to be putting Warren Buffett's cash pile to work.</li><li>It agr… [+3624 chars]",Business Insider,2026-06-02T10:07:02Z
Ryan Cohen tells us why he's serious about buying eBay — and what he thinks about his viral CNBC interview,"""I did not want to be the CEO of GameStop,"" GameStop CEO Ryan Cohen told Business Insider on Friday. ""I want to be the CEO of eBay.""","""I did not want to be the CEO of GameStop. I want to be the CEO of eBay,"" Ryan Cohen told Business Insider.GameStop
<ul><li>GameStop CEO Ryan Cohen said he will continue doing whatever it takes to b… [+5168 chars]",Business Insider,2026-05-09T09:58:01Z
Campaign Staffers Say They’re Using Non-Public Poll Data to Profit on Prediction Markets,Casino country.,"Campaign staffers are using internal polling data that has not been made public to make profitable trades on prediction markets such as Kalshi and Polymarket, according to a new report from NPR. Rece… [+5508 chars]",Gizmodo.com,2026-05-08T11:00:28Z
Billionaire investor Bill Ackman reveals new bets on Microsoft,"Bill Ackman posted on X that he has purchased Microsoft stock for both his hedge fund and new closed-end fund, citing its ownership of M365 and Azure.","Bill Ackman is a billionaire hedge fund manager.NYSE
<ul><li>Bill Ackman announced a new investment in Microsoft.</li><li>The billionaire investor said both his hedge fund and new closed-end fund ha… [+1688 chars]",Business Insider,2026-05-15T09:42:27Z
Uber and DoorDash bet on higher earners. It's paying off big.,"Uber, DoorDash, and Instacart are targeting high-income consumers with premium services, lifting their quarterly earnings and stock prices.","High-income consumers buoyed quarterly results at Uber, DoorDash, and Instacart.Bloomberg/Getty Images
<ul><li>Uber, DoorDash, and Instacart targeted high-income consumers — and boosted their quarte… [+3353 chars]",Business Insider,2026-05-09T13:18:59Z
"8 fast facts about Ryan Cohen, the 'meme king' GameStop CEO leading a bid for eBay","Ryan Cohen gained prominence by cofounding Chewy and becoming a face of the meme stock craze. Now, he's leading GameStop's bid for eBay.","Ryan Cohen became CEO of GameStop in 2023.GameStop
<ul><li>GameStop wants to acquire eBay, a company roughly five times its size, for $55.5 billion.</li><li>GameStop CEO Ryan Cohen gained fame as a … [+3749 chars]",Business Insider,2026-05-04T17:04:53Z
Michael Saylor says remarks about selling Bitcoin were intended to jam short-sellers and ‘haters’,"Saylor, the chairman of Strategy, told Fortune that his comments about selling Bitcoin sought to protect his stock from crashing.","Michael Saylor is the worlds foremost Bitcoin buyer. You do not sell your Bitcoin, wrote the crypto billionaire in October. But, on a Tuesday earnings call, Saylor, whose company Strategy has accumul… [+2579 chars]",Yahoo Entertainment,2026-05-08T15:49:18Z
Google Search Is Dead. Welcome to the Era of the ‘Intelligent Search Box’,"""This is the biggest upgrade to our iconic search box since its debut over 25 years ago,"" a Search executive said.","Google is turning Search into a fully AI-infused experience.
On Tuesday, the tech giant announced an AI makeover of its most popular function.
“Now, we’re entering the next chapter of Google Search… [+3631 chars]",Gizmodo.com,2026-05-19T20:14:37Z
South Korea export growth hits four-decade high on AI chip boom,"By Jihoon Lee SEOUL, June 1 (Reuters) - South Korea's exports grew more than expected in May at the strongest annual rate in over four decades, as a global...","By Jihoon Lee
SEOUL, June 1 (Reuters) - South Korea's exports grew more than expected in May at the strongest annual rate in over four decades, as a global boom in AI investment drove chip sales to … [+2832 chars]",Yahoo Entertainment,2026-06-01T02:54:42Z
Japan slips to third-largest creditor behind China despite record net external assets,"By Makiko Yamazaki TOKYO, May 26 (Reuters) - Japan fell behind China to rank as the world's third-largest net creditor in 2025, marking a further decline in ...","By Makiko Yamazaki
TOKYO, May 26 (Reuters) - Japan fell behind China to rank as the world's third-largest net creditor in 2025, marking a further decline in global rankings despite its net external … [+1358 chars]",Yahoo Entertainment,2026-05-25T23:46:44Z
"One entrepreneur nearly ran out of cash building a fancy popcorn maker. Then, Oprah saved his business.","""I ended up selling $600,000 worth of my personal stock to keep us afloat,"" said Popsmith cofounder Tal Moore.","Tal Moore is the co-founder of Popsmith.Jason LeCras for BI
<ul><li>Popsmith cofounder Tal Moore nearly ran out of cash in early 2024 and sold his personal stock to keep the company afloat.</li><li>… [+5692 chars]",Business Insider,2026-05-13T16:13:41Z
(g+) South Korean business & finance: The stock market that outpaced Nasdaq's dotcom-era gains,"South Korea's Kospi triples in 18 months powered by Samsung and SK Hynix as AI euphoria continues (Wirtschaft, Börse)","Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]",Golem.de,2026-05-20T13:30:02Z
Wall Street's 'Dr. Doom' economist lays out 4 scenarios for the Iran war and their impact on markets,"Oil prices could spike past $200 a barrel in the worst-case scenario, economist Nouriel Roubini warned.","Investors betting that the Iran war is about to end could be in for a wake-up call, according to Wall Street's ""Dr. Doom.""
Nouriel Roubinithe top economist who called the Great Financial Crisis and … [+4299 chars]",Business Insider,2026-05-08T09:30:01Z
OpenAI’s IPO Filing Might Be Just Days Away: Report,"With its trial wrapped up, the company behind ChatGPT is ready to let things rip.","OpenAI, one of the companies most responsible for pushing generative AI into the mainstream with its popular ChatGPT LLM, could file for an initial public offering (IPO) by the end of this week.
The… [+2280 chars]",Gizmodo.com,2026-05-20T19:02:47Z
Dell Stock Surges 32% in One Day. Big Revenue From AI Servers Stuns Analysts,"Dell's stock skyrocketed 32.76% on Friday, ""its best day ever,"" reports CNBC, after Dell ""reported its fastest pace for revenue growth for any period since returning to the public market in 2018..."" 

""Shares are now up 234% in 2026.""

Dell, which reported fi…","Dell's stock skyrocketed 32.76% on Friday, ""its best day ever,"" reports CNBC, after Dell ""reported its fastest pace for revenue growth for any period since returning to the public market in 2018...""""… [+1111 chars]",Slashdot.org,2026-05-29T23:34:00Z
I bought a 54-acre ranch to teach my kids self-reliance. Then I lost millions overnight and learned another lesson.,"Brent Phillips bought a Texas ranch for himself and his family. When he lost millions in a stock crash, he began renting it out on Airbnb.","This as-told-to essay is based on a conversation with Brent Phillips, 47, a software engineer who started renting out units on his guest ranch in Burton, Texas, to help pay bills. The following has b… [+6172 chars]",Business Insider,2026-05-06T15:47:01Z
"Apotex Health seeks to raise up to C$1.2 billion, potentially reviving Toronto IPO market","TORONTO, June 1 (Reuters) - Canadian health company Apotex Health said on Monday it is seeking to raise up to C$1.2 billion  ($868.06 million) in an initial ...","TORONTO, June 1 (Reuters) - Canadian health company Apotex Health said on Monday it is seeking to raise up to C$1.2 billion ($868.06 million) in an initial public offering on the Toronto Stock Exchan… [+1589 chars]",Yahoo Entertainment,2026-06-01T14:52:55Z
"Where to invest as hot inflation and higher rates loom over markets, according to one research firm","Value stocks tend to outperform in periods when inflation is rising, Ned Davis Research wrote in a client note.","The Iran war could be driving a paradigm shift in markets that creates a new class of stock winners. 
Just as investors were growing accustomed to the idea of an ideal scenario of disinflation and s… [+3583 chars]",Business Insider,2026-05-23T09:15:01Z
"Orchid, the buzzy Tame Impala synth, is back in a gorgeous clear colorway","The Telepathic Instruments Orchid has been unavailable for a few months now. But a new batch is ready to drop on May 5th for $649, and the company is celebrating with a limited edition clear Orchid: Arctic, which will cost slightly more: $699. The Orchid was …","<ul><li></li><li></li><li></li></ul>
The original is also back in stock.
The original is also back in stock.
by
Terrence O'BrienClose
Posts from this author will be added to your daily email dig… [+2389 chars]",The Verge,2026-05-04T17:28:01Z
AI infrastructure executives are raking in massive stock windfalls — some are cashing them out,CoreWeave is one of the most successful among a crop of firms delivering the infrastructure for AI. Its top execs have quietly sold off shares.,"Michael Intrator, CoreWeave's CEO.Bloomberg/Getty Images
<ul><li>AI infrastructure firms are paying giant compensation to their senior executives, mostly in stock.</li><li>CoreWeave's top executives… [+7742 chars]",Business Insider,2026-05-05T09:36:01Z
Retail traders are trimming holdings of longtime AI favorite Palantir in a pivot from software stocks,"Palantir has long been a favorite of the retail crowd, but a frenzy for other AI plays, namely memory stocks, has turned the cohort into sellers.","Retail traders are shedding some of their holdings of an old favorite in a broader shift from some big-name software stocks. 
JPMorgan data shows that individual investors have been trimming their e… [+1716 chars]",Business Insider,2026-05-14T17:01:39Z
"Michael Burry, Paul Tudor Jones, and a Nobel-winner all see the same thing: A stock market reckoning",,"If you click 'Accept all', we and our partners, including 247 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",Yahoo Entertainment,2026-05-13T07:00:00Z
"DeFi Visa Card Takes Our Casino Economy to the Next Level With ‘Buy Now, Pay Maybe’ Scheme",It's just innovation upon innovation.,"The American economy increasingly looks like one big casino. Even former President Trump has acknowledged elements of this shift in recent comments, stating, You know, the whole world, unfortunately,… [+5956 chars]",Gizmodo.com,2026-05-08T18:10:32Z
Forget CamelCamelCamel: Google's new Universal Cart will track prices and find deals for you,"Google's new Universal Cart tracks prices, stock changes, and deals across multiple retailers automatically.","<ul><li>Google's new Universal Cart tracks prices, stock changes, and deals across multiple retailers automatically.</li><li>Gemini can suggest compatible alternatives when shopping for things like c… [+2726 chars]",Android Central,2026-05-19T17:45:00Z
"'Changing of the Guard'? AMD, Intel, and Micron Soar While Nvidia Lags","While Nvidia has dominated the ""infrastructure boom"" since 2022's launch of ChatGPT and ""the generative AI craze,"" CNBC writes that ""This week offered the starkest illustration yet of what MIzuho analyst Jordan Klein said could be a 'changing of the guard in …","Chipmakers Advanced Micro Devices and Intel notched gains of about 25%, while memory maker Micron jumped more than 37% and fiber-optic cable maker Corning climbed about 18%. All four of those compani… [+1643 chars]",Slashdot.org,2026-05-10T03:34:00Z
House holds off on prediction market ban despite bipartisan calls for prohibition,"Minority Leader Jeffries is urging Speaker Johnson to ""swiftly"" hold vote on House prediction market ban.","Unlike Senate members and staff, House lawmakers and staff can still bet on prediction markets where billions are bet each week on sports, culture, policy and elections. But a growing number of House… [+4027 chars]",NPR,2026-05-19T09:00:00Z
